name,seller,category,region,offering_type,update_frequency,description,price
Complete List of BP Australia Locations,AggData,Location Lists,Australia,1,0,"This is a complete list of BP Australia locations along with their geographical coordinates. BP Australia supplies fuel to about 1400 service stations. Many of the service stations have truck stops, shops and cafes. BP Australia also produces gas and liquids which are exported by two subsea pipelines, then processed to produce natural gas, domestic gas and condensate",94
Zacks Earnings Announcements,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Updated daily, this database offers information on corporate earnings announcements expected over the next couple months for over 7,000 US and Canadian companies, including both confirmed and estimated dates with EPS estimates, as compiled by Zacks Investment Research",120
Toronto Ventures Stock Exchange Prices,Exchange Data International,"Banks, Insurance, Financial Services",Canada,2,1,"EOD stock prices, dividends, adjustments and splits for all Toronto Ventures Stock Exchange (TSXV) stocks, including delisted ones. Data from Exchange Data International",50
Complete List of Ferrari Locations,AggData,Location Lists,World,1,0,"This is a complete list of Ferrari dealer locations along with their geographical coordinates. Ferrari has been known for high performance since its inception in 1947. In addition to their vehicles available to the public, they have Formula 1 racers and a variety of special edition cars. Their current consumer vehicles include; the 458 Spider, Ferrari California T, and the 458 Italia",67
US Equity Historical & Option Implied Volatilities,Quantcha,"Banks, Insurance, Financial Services",US,2,1,"60+ daily volatility indicators for 4,000+ US equities, including historical volatility, option-implied volatility, and skew steepness with historical coverage for 8,000+ since 2002.",100
Chinese ETF and Mutual Fund Data,Datayes,"Banks, Insurance, Financial Services",China,2,1,"Basic information including daily price, profit, daily net asset value, and value adjustment for funds traded on Shanghai and Shenzhen stock exchanges",100
Stuttgart Stock Exchange Prices,Exchange Data International,"Banks, Insurance, Financial Services",World,2,1,"EOD stock prices, dividends, adjustments and splits for all stocks in Stuttgart Stock Exchange, including delisted ones. Data from Exchange Data International.",50
Complete List of Melectronics Switzerland Locations,AggData,Location Lists,Switzerland,1,0,"This is a complete list of Melectronics Switzerland locations along with their geographical coordinates. Melectronics Switzerland is a brand of Migros Cooperative Association. They are the home electronics and entertainment branch of the grocery company. They carry appliances, TVs, computers, books, movies and music, and you can even purchase used cars from them. The data includes phone numbers and store hours for each location",67
Hamburg Stock Exchange Prices,Exchange Data International,"Banks, Insurance, Financial Services",Hamburg,2,1,"EOD stock prices, dividends, adjustments and splits for stocks in Hamburg Stock Exchange, including delisted ones. Data from Exchange Data International",50
Complete List of Acura dealer Locations,AggData,Location Lists,US,1,0,"This is a complete list of all Acura car dealership locations. Acura is the luxury vehicle division of Japanese automaker Honda Motor Company. They are known for luxury and performance vehicles. In its first few years of existence, Acura was among the best-selling luxury marques in the US",74
Complete List of ALDI Australia Locations,AggData,Location Lists,Australia,1,0,"This is a complete list of all ALDI Australia grocery store locations along with their geographical coordinates. ALDI Australia takes pride in their smarter shopping ideals.  As a leading discount grocery throughout the world, Aldi provides Australian customers with the best and freshest groceries, and many other home items, whether furniture, grills, clothing, or garden tools",89
Complete List of RadioShack de Mexico Locations,AggData,Location Lists,Mexico,1,0,This is a complete list of RadioShack de Mexico locations along with their geographical coordinates. RadioShack de Mexico is a chain of electronics retail stores.  The data includes phone numbers for each location,67
Zacks Company Profiles,Zacks Invesment Research,"Banks, Insurance, Financial Services",US,2,1,"Updated daily, this database contains descriptive information and precalculated ratios for over 6,000 actively traded US Equities",90
Complete List of Alamo Drafthouse Cinema Locations,AggData,Location Lists,US,1,0,This is a complete list of Alamo Drafthouse Cinema locations along with their geographical coordinates. Alamo Drafthouse Cinema is a Texas based chain of cinema –restaurants that has been serving patrons since 1997. They are known for having a strict code of etiquette and several film festivals.,59
Complete List of Worten Portugal Locations,AggData,Location Lists,Portugal,1,0,"This is a complete list of Worten Portugal locations along with their geographical coordinates. Worten is a consumer electronics chain. They sell electronics and appliances such as; smartphones, tablets, ovens dryers, audio equipment, tv’s, gaming and more. This data includes addresses and phone numbers for each location",67
Dow Jones Utilities Average One Minute Bars,Algoseek,Economic,US,2,1,Intraday quotes for all stocks in the Dow Jones Utilities Average. Trade-based minute bars showing OHLCV for every stock every day. Includes all index changes,25
OptionWorks ICE Options Settlement Prices,Applied Research,"Banks, Insurance, Financial Services",US,2,1,"Daily settlement prices for every option contract traded at ICE exchanges (ICUS, ICCA, ICEC, ICEF, ICEP, and ICSG) going back to 2012.",150
Complete List of AD Delhaize Locations,AggData,Location Lists,Belgium,1,0,This is a complete list of AD Delhaize Belgium locations along with their geographical coordinates. AD Delhaize is a subsidiary of Ahold Delhaize,89
Risk and Performance Metrics,Snowfall Systems,"Banks, Insurance, Financial Services",US,2,1,"Updated daily, this database offers data on risk and performance metrics for 9,000+ financial instruments, including stocks, stock indices and ETFs",100
Complete List of Conrad Electronic Germany Locations,AggData,Location Lists,Germany,1,0,"This is a complete list of Conrad Electronic Germany locations along with their geographical coordinates. Conrad Electronic Germany is a home electronics chain that offers expert advice on purchases, repairs, or troubleshooting a wide variety of problems. They have 25 locations throughout Germany to serve their customer’s needs. They have an astonishing array of items for sale in such broad categories as: computers & office, multimedia, hobby, home, tools, and more",59
Complete List of Delhaize Belgium Locations,AggData,Location Lists,Belgium,1,0,"This is a complete list of Delhaize Belgium locations along with their geographical coordinates. Delhaize Belgium is a grocery store that offers all the things you would want, plus they go the extra mile and allow for online shopping. They have a huge selection of goods including: meats & fish, produce, baked goods, cheese & dairy, and so much more",89
Complete List of NetOnNet Norway Locations,AggData,Location Lists,Norway,1,0,"This is a complete list of NetOnNet Norway locations along with their geographical coordinates. NetOnNet sells consumer electronics at lower prices than in regular stores. Their store model consists of online shopping and in-store product stations where customers select products in a search station, and then pick it up from the designated warehouse. This data includes addresses for each location",39
China Macroeconomic and Industrial Data,Datayes,"Business, Distribution, E-commerce",China,2,1,"Historical macroeconomic data for China, including government revenue, money supply, consumer price index, income and expenditure, going back to 1998",100
Complete List of Toshiba America Business Solutions Locations,AggData,Location Lists,US,1,0,"This is a complete list of Toshiba America Business Solutions locations, along with their geographic coordinates. Toshiba America Business Solutions have printing systems for every size company. They create digital signage to help with advertising, and smarter communications methods. They provide your company with solutions to make your work more effecient and professional. The data includes phone and fax numbers for each location",89
Complete List of BMW China Locations,AggData,Location Lists,China,1,0,"This is a complete list of BMW China locations along with their geographical coordinates. BMW China is a German luxury automobile, motorcycle, and engine manufacturing company. Note: Due to the nature of the primary data source for this list, the overall geoaccuracy may be lower than the standard advertised quality metrics. If you have any questions, please contact the AggData Customer Service Team.",89
Barchart Global Index Prices,Barchart,"Banks, Insurance, Financial Services",World,2,1,"Daily, end of day data for the open, high, low, and close for over 70 of the largest indexes in the world. History as far back as 2000.",137.5
Zacks Sales Estimates,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Updated daily, this database offers consensus sales estimates for over 4,000 US and Canadian listed companies as compiled by Zacks Research",120
Zacks Analyst Rating History,Zacks Invesment Research,"Banks, Insurance, Financial Services","US, Canada",2,1,"Updated daily, this database offers historical analyst ratings revisions for over 5,000 publicly traded companies going as far back as 1995",150
